--- Plugin Process Block Started ---
Event: CC Ch:1 B1:1 B2:87
Event: CC Ch:1 B1:1 B2:87
Event: CC Ch:1 B1:1 B2:87
Event: CC Ch:1 B1:102 B2:0
Event: CC Ch:1 B1:103 B2:0
Event: CC Ch:1 B1:1 B2:71
Event: CC Ch:1 B1:7 B2:100
Event: CC Ch:1 B1:10 B2:64
Event: CC Ch:1 B1:1 B2:87
Event: CC Ch:1 B1:1 B2:87
Event: CC Ch:1 B1:1 B2:87
Event: CC Ch:1 B1:123 B2:0
Event: CC Ch:1 B1:121 B2:0
Event: CC Ch:1 B1:64 B2:0
Event: Other Ch:1 B1:0 B2:64
Event: CC Ch:1 B1:7 B2:100
Event: CC Ch:1 B1:10 B2:64
Event: CC Ch:1 B1:102 B2:0
Event: CC Ch:1 B1:103 B2:0
Event: CC Ch:1 B1:104 B2:64
Event: CC Ch:1 B1:105 B2:0
Event: CC Ch:1 B1:106 B2:64
Event: CC Ch:1 B1:107 B2:0
Event: CC Ch:1 B1:108 B2:0
Event: CC Ch:1 B1:109 B2:0
Event: CC Ch:1 B1:110 B2:0
Event: CC Ch:1 B1:111 B2:0
Event: CC Ch:1 B1:112 B2:0
Event: CC Ch:1 B1:113 B2:0
Event: CC Ch:2 B1:102 B2:0
Event: CC Ch:2 B1:103 B2:0
Event: CC Ch:2 B1:104 B2:64
Event: CC Ch:2 B1:105 B2:0
Event: CC Ch:2 B1:106 B2:64
Event: CC Ch:2 B1:107 B2:0
Event: CC Ch:2 B1:108 B2:0
Event: CC Ch:2 B1:109 B2:0
Event: CC Ch:2 B1:110 B2:0
Event: CC Ch:2 B1:111 B2:0
Event: CC Ch:2 B1:112 B2:0
Event: CC Ch:2 B1:113 B2:0
Event: CC Ch:4 B1:102 B2:0
Event: CC Ch:4 B1:103 B2:0
Event: CC Ch:4 B1:104 B2:64
Event: CC Ch:4 B1:105 B2:0
Event: CC Ch:4 B1:106 B2:64
Event: CC Ch:4 B1:107 B2:0
Event: CC Ch:4 B1:108 B2:0
Event: CC Ch:4 B1:109 B2:0
Event: CC Ch:4 B1:110 B2:0
Event: CC Ch:4 B1:111 B2:0
Event: CC Ch:4 B1:112 B2:0
Event: CC Ch:4 B1:113 B2:0
Event: CC Ch:1 B1:1 B2:71
Event: CC Ch:1 B1:102 B2:0
Event: CC Ch:1 B1:102 B2:0
Event: CC Ch:1 B1:103 B2:0
Event: CC Ch:1 B1:103 B2:0
Event: CC Ch:1 B1:1 B2:71
Event: CC Ch:1 B1:1 B2:71
Event: CC Ch:1 B1:7 B2:100
Event: CC Ch:1 B1:10 B2:64
Event: NoteOn Ch:1 B1:65 B2:100
Event: NoteOff Ch:1 B1:65 B2:64
Event: NoteOn Ch:1 B1:69 B2:100
Event: CC Ch:1 B1:1 B2:72
Event: NoteOff Ch:1 B1:69 B2:64
Event: CC Ch:1 B1:102 B2:0
Event: CC Ch:1 B1:103 B2:0
Event: CC Ch:1 B1:111 B2:1
Event: CC Ch:1 B1:1 B2:82
Event: NoteOn Ch:1 B1:76 B2:100
Event: NoteOff Ch:1 B1:76 B2:64
Event: NoteOn Ch:1 B1:72 B2:100
Event: CC Ch:1 B1:1 B2:69
Event: NoteOff Ch:1 B1:72 B2:64
Event: CC Ch:1 B1:111 B2:0
Event: CC Ch:1 B1:123 B2:0
Event: CC Ch:1 B1:121 B2:0
Event: CC Ch:1 B1:64 B2:0
Event: Other Ch:1 B1:0 B2:64
